title,apr
6/2/2023,16.1222
6/3/2023,16.1234
6/4/2023,16.1239
6/5/2023,16.1263
6/6/2023,15.5427
6/7/2023,15.5146
6/8/2023,15.5166
6/9/2023,15.522
6/10/2023,15.5365
6/11/2023,15.5363
6/12/2023,15.5354
6/13/2023,15.55
6/14/2023,15.3912
6/15/2023,15.4066
6/16/2023,15.4058
6/17/2023,15.2546
6/18/2023,15.2546
6/19/2023,15.2552
6/20/2023,15.2635
6/21/2023,15.2727
6/22/2023,15.2821
6/23/2023,15.284
6/24/2023,15.2812
6/25/2023,15.2823
6/26/2023,15.2993
6/27/2023,15.3161
6/28/2023,15.647
6/29/2023,15.6556
6/30/2023,15.6777
7/1/2023,15.3593
7/2/2023,15.3611
7/3/2023,15.5023
7/4/2023,15.5131
7/5/2023,15.6075
7/6/2023,15.6081
7/7/2023,15.5562
7/8/2023,15.6857
7/9/2023,15.6978
7/10/2023,15.6781
7/11/2023,15.5562
7/12/2023,15.5593
7/13/2023,15.5618
7/14/2023,15.5628
7/15/2023,15.5634
7/16/2023,15.5639
7/17/2023,15.5643
7/18/2023,15.5671
7/19/2023,15.5659
7/20/2023,15.5425
7/21/2023,15.545
7/22/2023,15.5614
7/23/2023,15.5656
7/24/2023,15.5631
7/25/2023,15.5687
7/26/2023,15.566
7/27/2023,15.5761
7/28/2023,15.5862
7/29/2023,15.6455
7/30/2023,15.6497
7/31/2023,15.6032
8/1/2023,15.5857
8/2/2023,15.4975
8/3/2023,15.5002
8/4/2023,15.5471
8/5/2023,15.5597
8/6/2023,15.5601
8/7/2023,15.5596
8/8/2023,15.5491
8/9/2023,15.552
8/10/2023,15.5587
8/11/2023,15.5648
8/12/2023,15.5731
8/13/2023,15.5903
8/14/2023,15.6005
8/15/2023,15.6189
8/16/2023,15.6222
8/17/2023,15.6197
8/18/2023,15.6286
8/19/2023,15.6264
8/20/2023,15.6047
8/21/2023,15.6047
8/22/2023,15.6053
8/23/2023,15.624
8/24/2023,15.624
8/25/2023,15.5795
8/26/2023,15.5668
8/27/2023,15.5847
8/28/2023,15.5947
8/29/2023,15.6018
8/30/2023,15.5838
8/31/2023,15.5284
9/1/2023,15.5851
9/2/2023,15.5848
9/3/2023,15.5985
9/4/2023,15.6338
9/5/2023,15.645
9/6/2023,15.6498
9/7/2023,15.6432
9/8/2023,15.6388
9/9/2023,15.6415
9/10/2023,15.6413
9/11/2023,15.6451
9/12/2023,15.6498
9/13/2023,15.6587
9/14/2023,15.659
9/15/2023,15.6521
9/16/2023,15.6527
9/17/2023,15.6588
9/18/2023,15.6402
9/19/2023,15.6386
9/20/2023,15.6413
9/21/2023,15.9807
9/22/2023,15.9605
9/23/2023,15.6239
9/24/2023,15.631
9/25/2023,15.6352
9/26/2023,15.5024
9/27/2023,15.5605
9/28/2023,15.5767
9/29/2023,15.5665
9/30/2023,15.5818
10/1/2023,15.5852
10/2/2023,15.5875
10/3/2023,15.5876
10/4/2023,15.5902
10/5/2023,15.6213
10/6/2023,15.628
10/7/2023,15.6771
10/8/2023,16.3095
10/9/2023,16.3345
10/10/2023,16.3512
10/11/2023,16.2938
10/12/2023,16.214
10/13/2023,16.2095
10/14/2023,16.213
10/15/2023,16.152
10/16/2023,16.1454
10/17/2023,16.1486
10/18/2023,16.1565
10/19/2023,16.2299
10/20/2023,16.1898
10/21/2023,16.1895
10/22/2023,16.2038
10/23/2023,16.2124
10/24/2023,16.2231
10/25/2023,16.2317
10/26/2023,16.2214
10/27/2023,16.2251
10/28/2023,16.2312
10/29/2023,16.2395
10/30/2023,16.2335
10/31/2023,16.2826
11/1/2023,16.3115
11/2/2023,16.3091
11/3/2023,16.3042
11/4/2023,16.3204
11/5/2023,16.3216
11/6/2023,16.3275
11/7/2023,16.3293
11/8/2023,16.3361
11/9/2023,16.353
11/10/2023,16.3669
11/11/2023,16.3768
11/12/2023,16.394
11/13/2023,16.4563
11/14/2023,16.4503
11/15/2023,16.4653
11/16/2023,16.5738
11/17/2023,16.5691
11/18/2023,16.57
11/19/2023,16.5757
11/20/2023,16.5375
11/21/2023,16.5403
11/22/2023,16.5833
11/23/2023,16.4772
11/24/2023,16.485
11/25/2023,16.481
11/26/2023,16.4857
11/27/2023,16.4737
11/28/2023,16.4731
11/29/2023,16.481
11/30/2023,16.5827
12/1/2023,16.5836
12/2/2023,16.5836
12/3/2023,16.5877
12/4/2023,16.5979
12/5/2023,16.6791
12/6/2023,16.6125
12/7/2023,16.6421
12/8/2023,16.6314
12/9/2023,16.6266
12/10/2023,16.6465
12/11/2023,16.6749
12/12/2023,16.6835
